Month,Sector,Jurisdiction,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
Private sector,Q4 2024,Federal Jurisdiction,3,3194,43.5,4.4,3.2,2025-10-21
Private sector,Q4 2024,Provincial Jurisdiction,6,17903,55.1,2.8,3.5,2025-10-21
Private sector,Q1 2025,All Jurisdictions,8,10377,53.5,4.0,3.4,2025-10-21
Private sector,Q1 2025,Federal Jurisdiction,5,5593,44.0,5.2,3.9,2025-10-21
Private sector,Q1 2025,Provincial Jurisdiction,3,4784,64.6,2.6,2.8,2025-10-21
Private sector,Q2 2025,All Jurisdictions,12,128621,47.6,7.2,5.1,2025-10-21
Private sector,Q2 2025,Federal Jurisdiction,1,733,48.0,5.0,4.5,2025-10-21
Private sector,Q2 2025,Provincial Jurisdiction,11,127888,47.6,7.2,5.1,2025-10-21
Public sector,Q3 2022,All Jurisdictions,29,153785,45.6,1.1,1.4,2025-10-21
Public sector,Q3 2022,Federal Jurisdiction,5,5565,41.0,3.3,2.7,2025-10-21
Public sector,Q3 2022,Provincial Jurisdiction,24,148220,45.8,1.1,1.3,2025-10-21
Public sector,Q4 2022,All Jurisdictions,35,230934,38.8,3.8,3.6,2025-10-21
Public sector,Q4 2022,Federal Jurisdiction,1,4500,48.0,3.5,2.8,2025-10-21
Public sector,Q4 2022,Provincial Jurisdiction,34,226434,38.6,3.8,3.6,2025-10-21
Public sector,Q1 2023,All Jurisdictions,20,35275,46.2,3.0,3.0,2025-10-21
Public sector,Q1 2023,Federal Jurisdiction,1,1950,60.0,2.8,2.9,2025-10-21
Public sector,Q1 2023,Provincial Jurisdiction,19,33325,45.4,3.0,3.0,2025-10-21
Public sector,Q2 2023,All Jurisdictions,33,273677,43.9,2.0,2.8,2025-10-21
Public sector,Q2 2023,Federal Jurisdiction,6,171055,48.0,2.0,3.0,2025-10-21
Public sector,Q2 2023,Provincial Jurisdiction,27,102622,37.1,2.1,2.4,2025-10-21
Public sector,Q3 2023,All Jurisdictions,32,144342,36.5,5.2,4.2,2025-10-21
Public sector,Q3 2023,Federal Jurisdiction,4,20995,47.0,1.7,3.0,2025-10-21
Public sector,Q3 2023,Provincial Jurisdiction,28,123347,34.7,5.8,4.4,2025-10-21
Public sector,Q4 2023,All Jurisdictions,22,145034,47.6,3.1,2.9,2025-10-21
Public sector,Q4 2023,Federal Jurisdiction,3,25860,50.2,3.8,3.2,2025-10-21
Public sector,Q4 2023,Provincial Jurisdiction,19,119174,47.0,3.0,2.8,2025-10-21
Public sector,Q1 2024,All Jurisdictions,25,167636,46.3,3.1,2.6,2025-10-21
Public sector,Q1 2024,Federal Jurisdiction,3,10681,42.8,4.5,2.6,2025-10-21
Public sector,Q1 2024,Provincial Jurisdiction,22,156955,46.6,3.0,2.6,2025-10-21
Public sector,Q2 2024,All Jurisdictions,47,636309,54.2,5.3,3.5,2025-10-21
Public sector,Q2 2024,Federal Jurisdiction,1,19000,24.0,4.0,4.0,2025-10-21
Public sector,Q2 2024,Provincial Jurisdiction,46,617309,55.1,5.4,3.5,2025-10-21
Public sector,Q3 2024,All Jurisdictions,19,81923,44.3,3.5,3.1,2025-10-21
Public sector,Q3 2024,Federal Jurisdiction,2,9652,47.2,4.7,3.7,2025-10-21
Public sector,Q3 2024,Provincial Jurisdiction,17,72271,43.9,3.4,3.1,2025-10-21
Public sector,Q4 2024,All Jurisdictions,20,156775,49.9,5.0,3.7,2025-10-21
Public sector,Q4 2024,Federal Jurisdiction,4,8510,48.0,4.8,3.2,2025-10-21
Public sector,Q4 2024,Provincial Jurisdiction,16,148265,50.0,5.0,3.7,2025-10-21
Public sector,Q1 2025,All Jurisdictions,13,40617,48.7,4.2,3.4,2025-10-21
Public sector,Q1 2025,Federal Jurisdiction,1,7670,48.0,4.7,3.7,2025-10-21
Public sector,Q1 2025,Provincial Jurisdiction,12,32947,48.8,4.1,3.3,2025-10-21
Public sector,Q2 2025,All Jurisdictions,14,73968,45.6,3.3,3.1,2025-10-21
Public sector,Q2 2025,Provincial Jurisdiction,14,73968,45.6,3.3,3.1,2025-10-21
,Unnamed: 0_level_1,All Jurisdictions,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),
,Unnamed: 0_level_1,Federal Jurisdiction,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),
,Unnamed: 0_level_1,Provincial Jurisdiction,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),
All industries,2016,All Jurisdictions,292,1194600,48.5,0.9,1.4,2025-10-21
All industries,2016,Federal Jurisdiction,25,120168,44.7,1.1,1.4,2025-10-21
All industries,2016,Provincial Jurisdiction,267,1074432,48.9,0.8,1.4,2025-10-21
All industries,2017,All Jurisdictions,224,868612,39.8,1.7,1.7,2025-10-21
All industries,2017,Federal Jurisdiction,46,209018,47.4,1.4,1.6,2025-10-21
All industries,2017,Provincial Jurisdiction,178,659594,37.3,1.8,1.8,2025-10-21
All industries,2018,All Jurisdictions,226,761192,42.7,1.4,1.4,2025-10-21
All industries,2018,Federal Jurisdiction,30,78120,47.9,1.8,2.0,2025-10-21
All industries,2018,Provincial Jurisdiction,196,683072,42.1,1.3,1.3,2025-10-21
All industries,2019,All Jurisdictions,269,684720,43.1,1.8,1.8,2025-10-21
All industries,2019,Federal Jurisdiction,40,102942,49.6,2.5,2.1,2025-10-21
All industries,2019,Provincial Jurisdiction,229,581778,41.9,1.7,1.8,2025-10-21
All industries,2020,All Jurisdictions,182,809923,41.4,1.8,1.9,2025-10-21
All industries,2020,Federal Jurisdiction,30,261483,44.3,2.4,2.2,2025-10-21
All industries,2020,Provincial Jurisdiction,152,548440,40.0,1.6,1.8,2025-10-21
All industries,2021,All Jurisdictions,179,1030411,42.8,1.8,1.9,2025-10-21
All industries,2021,Federal Jurisdiction,26,119215,49.1,1.9,2.4,2025-10-21
All industries,2021,Provincial Jurisdiction,153,911196,42.0,1.8,1.9,2025-10-21
All industries,2022,All Jurisdictions,147,706936,42.5,2.8,2.7,2025-10-21
All industries,2022,Federal Jurisdiction,24,45513,48.7,3.4,3.0,2025-10-21
All industries,2022,Provincial Jurisdiction,123,661423,42.1,2.8,2.7,2025-10-21
All industries,2023,All Jurisdictions,159,720010,42.9,3.7,3.4,2025-10-21
All industries,2023,Federal Jurisdiction,36,263293,47.1,2.7,3.2,2025-10-21
All industries,2023,Provincial Jurisdiction,123,456717,40.5,4.3,3.4,2025-10-21
All industries,2024,All Jurisdictions,145,1115557,50.8,4.7,3.4,2025-10-21
All industries,2024,Federal Jurisdiction,23,69202,35.6,4.5,3.6,2025-10-21
All industries,2024,Provincial Jurisdiction,122,1046355,51.8,4.8,3.3,2025-10-21
All industries,2025,All Jurisdictions,51,299241,47.6,5.8,3.9,2025-10-21
All industries,2025,Federal Jurisdiction,9,17332,47.9,4.8,3.8,2025-10-21
All industries,2025,Provincial Jurisdiction,42,281909,47.6,5.8,3.9,2025-10-21
Primary industries,2016,All Jurisdictions,8,14090,32.1,0.2,0.7,2025-10-21
Primary industries,2016,Provincial Jurisdiction,8,14090,32.1,0.2,0.7,2025-10-21
Primary industries,2017,All Jurisdictions,10,13602,36.8,0.7,0.9,2025-10-21
Primary industries,2017,Federal Jurisdiction,2,1150,45.1,2.3,1.9,2025-10-21
Primary industries,2017,Provincial Jurisdiction,8,12452,36.1,0.6,0.8,2025-10-21
Primary industries,2018,All Jurisdictions,2,2213,50.9,8.7,2.7,2025-10-21
Primary industries,2018,Provincial Jurisdiction,2,2213,50.9,8.7,2.7,2025-10-21
Primary industries,2019,All Jurisdictions,4,5630,55.7,2.3,2.4,2025-10-21
Primary industries,2019,Provincial Jurisdiction,4,5630,55.7,2.3,2.4,2025-10-21
Primary industries,2020,All Jurisdictions,1,650,64.8,2.5,2.2,2025-10-21
Primary industries,2020,Provincial Jurisdiction,1,650,64.8,2.5,2.2,2025-10-21
Primary industries,2021,All Jurisdictions,3,3139,44.5,1.4,2.4,2025-10-21
Primary industries,2021,Federal Jurisdiction,1,710,42.0,2.0,2.0,2025-10-21
Primary industries,2021,Provincial Jurisdiction,2,2429,45.3,1.2,2.5,2025-10-21
Primary industries,2022,All Jurisdictions,1,1011,60.0,2.0,2.0,2025-10-21
Primary industries,2022,Provincial Jurisdiction,1,1011,60.0,2.0,2.0,2025-10-21
Primary industries,2023,All Jurisdictions,1,750,48.0,3.5,2.9,2025-10-21
Primary industries,2023,Provincial Jurisdiction,1,750,48.0,3.5,2.9,2025-10-21
Primary industries,2024,All Jurisdictions,1,3317,36.0,5.0,4.0,2025-10-21
Primary industries,2024,Provincial Jurisdiction,1,3317,36.0,5.0,4.0,2025-10-21
Primary industries,2025,All Jurisdictions,1,536,36.0,3.0,3.0,2025-10-21
Primary industries,2025,Federal Jurisdiction,1,536,36.0,3.0,3.0,2025-10-21
Utilities,2016,All Jurisdictions,8,5800,48.9,0.8,1.4,2025-10-21
Utilities,2016,Provincial Jurisdiction,8,5800,48.9,0.8,1.4,2025-10-21
Utilities,2017,All Jurisdictions,3,2920,29.4,1.6,1.7,2025-10-21
Utilities,2017,Provincial Jurisdiction,3,2920,29.4,1.6,1.7,2025-10-21
Utilities,2018,All Jurisdictions,11,29176,44.9,1.3,2.0,2025-10-21
Utilities,2018,Provincial Jurisdiction,11,29176,44.9,1.3,2.0,2025-10-21
Utilities,2019,All Jurisdictions,12,19730,36.0,1.8,2.1,2025-10-21
Utilities,2019,Provincial Jurisdiction,12,19730,36.0,1.8,2.1,2025-10-21
Utilities,2020,All Jurisdictions,5,12606,44.3,1.5,1.9,2025-10-21
Utilities,2020,Provincial Jurisdiction,5,12606,44.3,1.5,1.9,2025-10-21
Utilities,2021,All Jurisdictions,8,17469,27.5,1.1,1.1,2025-10-21
Utilities,2021,Provincial Jurisdiction,8,17469,27.5,1.1,1.1,2025-10-21
Utilities,2022,All Jurisdictions,4,3055,44.7,0.4,1.6,2025-10-21
Utilities,2022,Provincial Jurisdiction,4,3055,44.7,0.4,1.6,2025-10-21
Utilities,2023,All Jurisdictions,8,19154,29.4,3.9,3.8,2025-10-21
Utilities,2023,Provincial Jurisdiction,8,19154,29.4,3.9,3.8,2025-10-21
Utilities,2024,All Jurisdictions,3,3361,31.9,3.3,3.0,2025-10-21
Utilities,2024,Provincial Jurisdiction,3,3361,31.9,3.3,3.0,2025-10-21
Utilities,2025,All Jurisdictions,2,3280,52.8,2.9,3.5,2025-10-21
Utilities,2025,Provincial Jurisdiction,2,3280,52.8,2.9,3.5,2025-10-21
Construction,2016,All Jurisdictions,53,112580,36.7,2.0,1.9,2025-10-21
Construction,2016,Federal Jurisdiction,1,1380,48.0,2.0,2.0,2025-10-21
Construction,2016,Provincial Jurisdiction,52,111200,36.5,2.0,1.9,2025-10-21
Construction,2017,All Jurisdictions,16,97270,44.5,3.4,2.0,2025-10-21
Construction,2017,Provincial Jurisdiction,16,97270,44.5,3.4,2.0,2025-10-21
Construction,2018,All Jurisdictions,16,93740,46.9,2.1,1.5,2025-10-21
Construction,2018,Federal Jurisdiction,1,850,60.0,0.0,1.6,2025-10-21
Construction,2018,Provincial Jurisdiction,15,92890,46.8,2.1,1.5,2025-10-21
Construction,2019,All Jurisdictions,44,109945,36.6,2.0,2.1,2025-10-21
Construction,2019,Provincial Jurisdiction,44,109945,36.6,2.0,2.1,2025-10-21
Construction,2020,All Jurisdictions,10,20042,44.5,0.8,1.0,2025-10-21
Construction,2020,Federal Jurisdiction,1,850,48.0,1.5,1.8,2025-10-21
Construction,2020,Provincial Jurisdiction,9,19192,44.4,0.8,1.0,2025-10-21
Construction,2021,All Jurisdictions,9,149177,47.9,2.0,2.0,2025-10-21
Construction,2021,Provincial Jurisdiction,9,149177,47.9,2.0,2.0,2025-10-21
Construction,2022,All Jurisdictions,8,58510,35.7,4.6,4.4,2025-10-21
Construction,2022,Provincial Jurisdiction,8,58510,35.7,4.6,4.4,2025-10-21
Construction,2023,All Jurisdictions,9,25701,27.8,8.2,5.9,2025-10-21
Construction,2023,Federal Jurisdiction,1,850,60.0,4.0,3.8,2025-10-21
Construction,2023,Provincial Jurisdiction,8,24851,26.7,8.4,5.9,2025-10-21
Construction,2024,All Jurisdictions,1,700,48.0,2.8,2.6,2025-10-21
Construction,2024,Federal Jurisdiction,1,700,48.0,2.8,2.6,2025-10-21
Construction,2025,All Jurisdictions,9,163584,48.0,7.4,4.3,2025-10-21
Construction,2025,Provincial Jurisdiction,9,163584,48.0,7.4,4.3,2025-10-21
Manufacturing,2016,All Jurisdictions,29,43197,51.0,1.9,1.4,2025-10-21
Manufacturing,2016,Federal Jurisdiction,2,1270,40.8,1.3,1.9,2025-10-21
Manufacturing,2016,Provincial Jurisdiction,27,41927,51.3,1.9,1.4,2025-10-21
Manufacturing,2017,All Jurisdictions,10,10440,48.3,1.5,1.4,2025-10-21
Manufacturing,2017,Provincial Jurisdiction,10,10440,48.3,1.5,1.4,2025-10-21
Manufacturing,2018,All Jurisdictions,13,13488,51.9,2.2,1.9,2025-10-21
Manufacturing,2018,Provincial Jurisdiction,13,13488,51.9,2.2,1.9,2025-10-21
Manufacturing,2019,All Jurisdictions,16,17760,61.1,2.0,2.2,2025-10-21
Manufacturing,2019,Federal Jurisdiction,1,780,48.0,2.0,1.7,2025-10-21
Manufacturing,2019,Provincial Jurisdiction,15,16980,61.7,2.0,2.2,2025-10-21
Manufacturing,2020,All Jurisdictions,14,39945,40.3,3.2,2.1,2025-10-21
Manufacturing,2020,Provincial Jurisdiction,14,39945,40.3,3.2,2.1,2025-10-21
Manufacturing,2021,All Jurisdictions,15,14707,51.2,4.5,2.3,2025-10-21
Manufacturing,2021,Provincial Jurisdiction,15,14707,51.2,4.5,2.3,2025-10-21
Manufacturing,2022,All Jurisdictions,8,12376,52.3,9.0,3.9,2025-10-21
Manufacturing,2022,Provincial Jurisdiction,8,12376,52.3,9.0,3.9,2025-10-21
Manufacturing,2023,All Jurisdictions,9,22886,37.3,8.9,4.9,2025-10-21
Manufacturing,2023,Provincial Jurisdiction,9,22886,37.3,8.9,4.9,2025-10-21
Manufacturing,2024,All Jurisdictions,7,8804,41.9,10.4,6.1,2025-10-21
Manufacturing,2024,Provincial Jurisdiction,7,8804,41.9,10.4,6.1,2025-10-21
Manufacturing,2025,All Jurisdictions,1,2400,72.0,4.0,3.2,2025-10-21
Manufacturing,2025,Provincial Jurisdiction,1,2400,72.0,4.0,3.2,2025-10-21
Wholesale and retail trade,2016,All Jurisdictions,9,24215,60.4,1.4,1.3,2025-10-21
Wholesale and retail trade,2016,Provincial Jurisdiction,9,24215,60.4,1.4,1.3,2025-10-21
Wholesale and retail trade,2017,All Jurisdictions,7,14550,47.5,1.7,1.9,2025-10-21
Wholesale and retail trade,2017,Provincial Jurisdiction,7,14550,47.5,1.7,1.9,2025-10-21
Wholesale and retail trade,2018,All Jurisdictions,10,20373,52.8,0.9,1.4,2025-10-21
Wholesale and retail trade,2018,Provincial Jurisdiction,10,20373,52.8,0.9,1.4,2025-10-21
Wholesale and retail trade,2019,All Jurisdictions,11,25528,58.1,1.2,1.7,2025-10-21
Wholesale and retail trade,2019,Provincial Jurisdiction,11,25528,58.1,1.2,1.7,2025-10-21
Wholesale and retail trade,2020,All Jurisdictions,9,13811,75.5,0.9,1.0,2025-10-21
Wholesale and retail trade,2020,Provincial Jurisdiction,9,13811,75.5,0.9,1.0,2025-10-21
Wholesale and retail trade,2021,All Jurisdictions,10,24770,55.8,1.5,1.4,2025-10-21
Wholesale and retail trade,2021,Provincial Jurisdiction,10,24770,55.8,1.5,1.4,2025-10-21
Wholesale and retail trade,2022,All Jurisdictions,3,10577,43.5,7.9,3.1,2025-10-21
Wholesale and retail trade,2022,Provincial Jurisdiction,3,10577,43.5,7.9,3.1,2025-10-21
Wholesale and retail trade,2023,All Jurisdictions,4,13379,57.5,8.9,4.0,2025-10-21
Wholesale and retail trade,2023,Provincial Jurisdiction,4,13379,57.5,8.9,4.0,2025-10-21
Wholesale and retail trade,2024,All Jurisdictions,1,10229,36.0,3.0,2.6,2025-10-21
Wholesale and retail trade,2024,Provincial Jurisdiction,1,10229,36.0,3.0,2.6,2025-10-21
Wholesale and retail trade,2025,All Jurisdictions,2,5825,70.2,6.1,3.4,2025-10-21
Wholesale and retail trade,2025,Provincial Jurisdiction,2,5825,70.2,6.1,3.4,2025-10-21
Transportation,2016,All Jurisdictions,18,85950,42.0,1.0,1.4,2025-10-21
Transportation,2016,Federal Jurisdiction,15,79380,42.2,0.9,1.3,2025-10-21
Transportation,2016,Provincial Jurisdiction,3,6570,39.4,1.9,1.9,2025-10-21
Transportation,2017,All Jurisdictions,19,28362,46.8,1.8,2.1,2025-10-21
Transportation,2017,Federal Jurisdiction,16,26382,48.1,1.8,2.1,2025-10-21
Transportation,2017,Provincial Jurisdiction,3,1980,30.6,1.8,1.6,2025-10-21
Transportation,2018,All Jurisdictions,16,28882,44.0,2.0,2.2,2025-10-21
Transportation,2018,Federal Jurisdiction,9,11950,46.8,2.3,2.5,2025-10-21
Transportation,2018,Provincial Jurisdiction,7,16932,42.1,1.9,2.0,2025-10-21
Transportation,2019,All Jurisdictions,20,41980,54.4,2.2,2.4,2025-10-21
Transportation,2019,Federal Jurisdiction,13,23660,52.6,2.4,2.6,2025-10-21
Transportation,2019,Provincial Jurisdiction,7,18320,56.7,1.9,2.1,2025-10-21
Transportation,2020,All Jurisdictions,22,98811,51.5,2.1,2.3,2025-10-21
Transportation,2020,Federal Jurisdiction,15,89283,51.9,2.2,2.4,2025-10-21
Transportation,2020,Provincial Jurisdiction,7,9528,47.9,0.7,1.1,2025-10-21
Transportation,2021,All Jurisdictions,14,57058,40.6,2.1,2.5,2025-10-21
Transportation,2021,Federal Jurisdiction,13,56028,40.5,2.1,2.5,2025-10-21
Transportation,2021,Provincial Jurisdiction,1,1030,48.0,3.0,2.5,2025-10-21
Transportation,2022,All Jurisdictions,17,42278,42.0,3.3,2.9,2025-10-21
Transportation,2022,Federal Jurisdiction,13,24833,49.1,3.9,3.3,2025-10-21
Transportation,2022,Provincial Jurisdiction,4,17445,31.8,2.5,2.4,2025-10-21
Transportation,2023,All Jurisdictions,24,44872,38.1,4.9,3.9,2025-10-21
Transportation,2023,Federal Jurisdiction,17,32469,38.5,5.9,4.4,2025-10-21
Transportation,2023,Provincial Jurisdiction,7,12403,37.2,2.4,2.4,2025-10-21
Transportation,2024,All Jurisdictions,11,24201,41.5,5.0,4.0,2025-10-21
Transportation,2024,Federal Jurisdiction,9,10901,46.3,5.6,3.7,2025-10-21
Transportation,2024,Provincial Jurisdiction,2,13300,37.6,4.6,4.2,2025-10-21
Transportation,2025,All Jurisdictions,7,11782,43.0,4.2,3.6,2025-10-21
Transportation,2025,Federal Jurisdiction,5,5790,45.2,5.4,4.1,2025-10-21
Transportation,2025,Provincial Jurisdiction,2,5992,40.9,3.0,3.1,2025-10-21
Information and culture,2016,All Jurisdictions,5,14578,56.0,0.7,1.2,2025-10-21
Information and culture,2016,Federal Jurisdiction,4,12328,57.5,0.7,1.2,2025-10-21
Information and culture,2016,Provincial Jurisdiction,1,2250,48.0,1.3,1.3,2025-10-21
Information and culture,2017,All Jurisdictions,6,8936,47.3,1.6,1.8,2025-10-21
Information and culture,2017,Federal Jurisdiction,4,7536,47.2,1.5,1.8,2025-10-21
Information and culture,2017,Provincial Jurisdiction,2,1400,48.0,1.7,1.8,2025-10-21
Information and culture,2018,All Jurisdictions,8,25890,45.5,2.6,2.4,2025-10-21
Information and culture,2018,Federal Jurisdiction,6,17240,50.7,2.4,2.3,2025-10-21
Information and culture,2018,Provincial Jurisdiction,2,8650,35.1,2.8,2.8,2025-10-21
Information and culture,2019,All Jurisdictions,6,10782,53.8,1.2,1.3,2025-10-21
Information and culture,2019,Federal Jurisdiction,4,9012,55.2,1.0,1.3,2025-10-21
Information and culture,2019,Provincial Jurisdiction,2,1770,46.4,1.7,1.1,2025-10-21
Information and culture,2020,All Jurisdictions,2,3450,43.9,1.2,1.3,2025-10-21
Information and culture,2020,Federal Jurisdiction,1,1200,36.1,1.5,1.5,2025-10-21
Information and culture,2020,Provincial Jurisdiction,1,2250,48.0,1.0,1.1,2025-10-21
Information and culture,2021,All Jurisdictions,5,8228,57.5,1.7,1.9,2025-10-21
Information and culture,2021,Federal Jurisdiction,4,7410,59.8,1.7,1.9,2025-10-21
Information and culture,2021,Provincial Jurisdiction,1,818,36.0,2.0,2.0,2025-10-21
Information and culture,2022,All Jurisdictions,9,15770,47.8,2.6,2.4,2025-10-21
Information and culture,2022,Federal Jurisdiction,6,13890,48.9,2.8,2.6,2025-10-21
Information and culture,2022,Provincial Jurisdiction,3,1880,39.5,1.1,1.1,2025-10-21
Information and culture,2023,All Jurisdictions,4,10961,57.3,1.6,2.5,2025-10-21
Information and culture,2023,Federal Jurisdiction,4,10961,57.3,1.6,2.5,2025-10-21
Information and culture,2024,All Jurisdictions,6,8605,40.7,3.2,2.0,2025-10-21
Information and culture,2024,Federal Jurisdiction,3,5600,39.8,3.1,1.7,2025-10-21
Information and culture,2024,Provincial Jurisdiction,3,3005,42.4,3.4,2.6,2025-10-21
Information and culture,2025,All Jurisdictions,1,2500,60.0,4.0,3.4,2025-10-21
Information and culture,2025,Federal Jurisdiction,1,2500,60.0,4.0,3.4,2025-10-21
Finance and professional services,2016,All Jurisdictions,8,5980,41.7,1.9,1.7,2025-10-21
Finance and professional services,2016,Federal Jurisdiction,2,1310,21.0,2.1,2.1,2025-10-21
Finance and professional services,2016,Provincial Jurisdiction,6,4670,47.6,1.8,1.5,2025-10-21
Finance and professional services,2017,All Jurisdictions,11,20770,53.3,2.0,2.2,2025-10-21
Finance and professional services,2017,Federal Jurisdiction,8,13520,39.7,1.6,2.0,2025-10-21
Finance and professional services,2017,Provincial Jurisdiction,3,7250,78.8,2.7,2.7,2025-10-21
Finance and professional services,2018,All Jurisdictions,17,44852,47.9,2.7,2.1,2025-10-21
Finance and professional services,2018,Federal Jurisdiction,5,6040,39.1,3.1,2.0,2025-10-21
Finance and professional services,2018,Provincial Jurisdiction,12,38812,49.3,2.7,2.1,2025-10-21
Finance and professional services,2019,All Jurisdictions,6,5820,47.1,2.1,1.8,2025-10-21
Finance and professional services,2019,Federal Jurisdiction,6,5820,47.1,2.1,1.8,2025-10-21
Finance and professional services,2020,All Jurisdictions,9,25148,45.8,1.3,1.6,2025-10-21
Finance and professional services,2020,Federal Jurisdiction,4,10960,47.5,1.4,1.3,2025-10-21
Finance and professional services,2020,Provincial Jurisdiction,5,14188,44.5,1.3,1.8,2025-10-21
Finance and professional services,2021,All Jurisdictions,6,7582,43.2,0.5,2.1,2025-10-21
Finance and professional services,2021,Federal Jurisdiction,3,3925,40.4,0.5,1.7,2025-10-21
Finance and professional services,2021,Provincial Jurisdiction,3,3657,46.2,0.4,2.5,2025-10-21
Finance and professional services,2022,All Jurisdictions,9,23855,53.6,1.8,2.1,2025-10-21
Finance and professional services,2022,Federal Jurisdiction,4,2290,44.3,2.4,2.7,2025-10-21
Finance and professional services,2022,Provincial Jurisdiction,5,21565,54.6,1.7,2.0,2025-10-21
Finance and professional services,2023,All Jurisdictions,4,3619,45.8,7.0,4.3,2025-10-21
Finance and professional services,2023,Federal Jurisdiction,3,2065,27.7,9.0,6.1,2025-10-21
Finance and professional services,2023,Provincial Jurisdiction,1,1554,69.8,4.2,2.0,2025-10-21
Finance and professional services,2024,All Jurisdictions,7,24715,35.1,3.4,3.7,2025-10-21
Finance and professional services,2024,Federal Jurisdiction,3,10430,15.5,4.5,4.4,2025-10-21
Finance and professional services,2024,Provincial Jurisdiction,4,14285,49.5,2.5,3.2,2025-10-21
Finance and professional services,2025,All Jurisdictions,2,2386,36.0,4.2,4.2,2025-10-21
Finance and professional services,2025,Federal Jurisdiction,1,836,36.0,4.0,3.5,2025-10-21
Finance and professional services,2025,Provincial Jurisdiction,1,1550,36.0,4.2,4.6,2025-10-21
"Education, health, and social services",2016,All Jurisdictions,98,697660,49.7,0.5,1.2,2025-10-21
"Education, health, and social services",2016,Provincial Jurisdiction,98,697660,49.7,0.5,1.2,2025-10-21
"Education, health, and social services",2017,All Jurisdictions,80,398216,30.5,1.5,1.7,2025-10-21
"Education, health, and social services",2017,Provincial Jurisdiction,80,398216,30.5,1.5,1.7,2025-10-21
"Education, health, and social services",2018,All Jurisdictions,77,330519,39.0,0.8,1.0,2025-10-21
"Education, health, and social services",2018,Provincial Jurisdiction,77,330519,39.0,0.8,1.0,2025-10-21
"Education, health, and social services",2019,All Jurisdictions,90,294965,38.3,1.3,1.6,2025-10-21
"Education, health, and social services",2019,Provincial Jurisdiction,90,294965,38.3,1.3,1.6,2025-10-21
"Education, health, and social services",2020,All Jurisdictions,74,385643,36.4,1.5,1.9,2025-10-21
"Education, health, and social services",2020,Provincial Jurisdiction,74,385643,36.4,1.5,1.9,2025-10-21
"Education, health, and social services",2021,All Jurisdictions,69,584584,38.9,1.8,1.9,2025-10-21
"Education, health, and social services",2021,Provincial Jurisdiction,69,584584,38.9,1.8,1.9,2025-10-21
"Education, health, and social services",2022,All Jurisdictions,59,404495,42.9,2.5,2.6,2025-10-21
"Education, health, and social services",2022,Provincial Jurisdiction,59,404495,42.9,2.5,2.6,2025-10-21
"Education, health, and social services",2023,All Jurisdictions,61,315067,41.4,3.7,3.2,2025-10-21
"Education, health, and social services",2023,Provincial Jurisdiction,61,315067,41.4,3.7,3.2,2025-10-21
"Education, health, and social services",2024,All Jurisdictions,76,904206,53.2,4.9,3.3,2025-10-21
"Education, health, and social services",2024,Provincial Jurisdiction,76,904206,53.2,4.9,3.3,2025-10-21
"Education, health, and social services",2025,All Jurisdictions,17,72390,44.8,3.2,3.1,2025-10-21
"Education, health, and social services",2025,Provincial Jurisdiction,17,72390,44.8,3.2,3.1,2025-10-21
Entertainment and hospitality,2016,All Jurisdictions,5,4010,45.9,1.7,1.7,2025-10-21
Entertainment and hospitality,2016,Provincial Jurisdiction,5,4010,45.9,1.7,1.7,2025-10-21
Entertainment and hospitality,2017,All Jurisdictions,5,6350,46.7,2.0,1.9,2025-10-21
Entertainment and hospitality,2017,Provincial Jurisdiction,5,6350,46.7,2.0,1.9,2025-10-21
Entertainment and hospitality,2018,All Jurisdictions,9,7940,45.6,2.5,2.4,2025-10-21
Entertainment and hospitality,2018,Provincial Jurisdiction,9,7940,45.6,2.5,2.4,2025-10-21
Entertainment and hospitality,2019,All Jurisdictions,2,1800,36.0,7.1,5.0,2025-10-21
Entertainment and hospitality,2019,Provincial Jurisdiction,2,1800,36.0,7.1,5.0,2025-10-21
Entertainment and hospitality,2020,All Jurisdictions,3,2038,31.3,1.6,1.7,2025-10-21
Entertainment and hospitality,2020,Provincial Jurisdiction,3,2038,31.3,1.6,1.7,2025-10-21
Entertainment and hospitality,2021,All Jurisdictions,4,4836,36.7,0.1,1.0,2025-10-21
Entertainment and hospitality,2021,Provincial Jurisdiction,4,4836,36.7,0.1,1.0,2025-10-21
Entertainment and hospitality,2022,All Jurisdictions,2,2406,40.0,4.8,3.7,2025-10-21
Entertainment and hospitality,2022,Provincial Jurisdiction,2,2406,40.0,4.8,3.7,2025-10-21
Entertainment and hospitality,2024,All Jurisdictions,2,1311,30.9,7.1,5.1,2025-10-21
Entertainment and hospitality,2024,Provincial Jurisdiction,2,1311,30.9,7.1,5.1,2025-10-21
Entertainment and hospitality,2025,All Jurisdictions,1,1606,24.0,10.8,10.2,2025-10-21
Entertainment and hospitality,2025,Provincial Jurisdiction,1,1606,24.0,10.8,10.2,2025-10-21
